,approx_payout_date,body_length,channels,delivery_method,event_created,event_end,event_published,event_start,fb_published,gts,has_analytics,has_header,has_logo,name_length,num_order,num_payouts,object_id,org_facebook,org_twitter,sale_duration,sale_duration2,show_map,user_age,user_created,user_type,venue_latitude,venue_longitude
0,1266062400,3852,5,0.0,1262739706,1265630400,1263109838.0,1265594400,0,0.0,0,1.0,0,60,0,0,527017,0.0,0.0,29.0,33,1,36,1259613950,1,25.777471,-80.1334329
1,1296720000,3499,0,1.0,1293832670,1296288000,1293833295.0,1296255600,0,868.02,0,0.0,1,27,23,1,786878,0.0,12.0,28.0,28,0,149,1280942776,3,32.7765656,-79.9309216
2,1296172800,2601,8,1.0,1291090956,1295740800,1291091908.0,1295713800,0,3500.0,0,0.20206093189964158,0,28,19,4,787337,0.0,0.0,54.0,54,0,214,1272559388,3,33.944201,-118.080419
3,1388966400,12347,6,1.0,1360681570,1388534400,1360683446.0,1360702800,0,1167.35,0,0.0,1,21,39,16,885645,0.0,0.0,0.0,0,0,889,1283870102,3,0.0,0.0
4,1297900800,2417,11,0.0,1291994666,1297468800,1291994966.0,1297440000,1,2313.15,0,0.0,0,66,30,0,1114349,0.0,0.0,63.0,63,0,35,1288984065,3,42.3538484,-71.0442764
5,1300496400,117,6,0.0,1294421810,1300064400,1294421872.0,1300053600,0,302.57,0,0.0,1,44,14,3,1179983,0.0,0.0,65.0,65,1,299,1268579110,1,38.2097967,-84.5588311
6,1297909800,28,5,1.0,1294425018,1297477800,1294425173.0,1297468800,0,832.64,0,1.0,1,36,12,3,1180179,0.0,0.0,35.0,35,1,706,1233437951,3,39.4142698,-77.4050893
7,1296709200,974,12,0.0,1294427837,1296277200,1294427861.0,1296271800,0,220.64,0,0.0,1,28,6,5,1180391,18.0,0.0,21.0,21,1,71,1288276103,3,35.580468,-82.563855
8,1298185200,4388,4,0.0,1294428122,1297753200,1294879974.0,1297737000,1,3706.36,0,0.0,1,19,12,0,1180423,0.0,0.0,33.0,38,0,0,1294428121,3,37.7928469,-122.4020819
9,1297314000,974,12,0.0,1294428286,1296882000,1294428300.0,1296876600,0,535.84,0,0.0,1,28,14,9,1180435,18.0,0.0,28.0,28,1,71,1288276103,3,35.580468,-82.563855
10,1296504000,4397,8,1.0,1294428969,1296072000,1294681667.0,1296060300,0,750.0,0,0.0,1,67,14,25,1180497,0.0,0.0,16.0,19,0,729,1231436612,3,37.7750214,-122.4194293
11,1298070000,1679,10,1.0,1295297252,1297638000,1295297410.0,1297630800,0,685.44,0,0.0,0,47,13,24,1213143,8.0,8.0,27.0,27,0,430,1258180664,3,0.0,0.0
12,1303095600,7933,8,1.0,1296128276,1302663600,1296478045.0,1302654600,0,178.0,0,0.0,1,60,2,4,1245411,0.0,0.0,71.0,75,0,814,1225799820,4,32.731589,-97.321489
13,1301889600,7138,5,1.0,1296068930,1301457600,1296069125.0,1301446800,0,833.14,0,0.0,1,88,16,13,1245735,0.0,0.0,62.0,62,1,465,1255857361,4,37.421022,-122.1421069
14,1300942800,10057,11,0.0,1296069679,1300510800,1296070628.0,1300500000,1,1038.56,0,0.0,1,22,9,1,1245809,17.0,15.0,51.0,51,1,197,1279046075,3,34.100945,-118.332378
15,1302494400,1615,6,0.0,1296774952,1302062400,1297216460.0,1302055200,0,2723.44,0,1.0,1,56,143,656,1278699,13.0,14.0,56.0,61,1,371,1264709634,3,40.79526,-73.317442
16,1300075200,1595,6,0.0,1296775079,1299646800,1296872856.0,1299639600,0,2146.44,0,1.0,1,60,90,476,1278715,13.0,14.0,32.0,33,1,371,1264709634,3,42.553499,-70.845015
17,1299823200,148,5,0.0,1297703790,1299391200,1297705631.0,1299384000,0,34.62,0,0.0,1,46,2,0,1310811,0.0,0.0,19.0,19,1,3,1297479866,1,43.2548688,-70.7689819
18,1313881200,3387,11,1.0,1297481644,1313449200,1297481788.0,1313424000,1,1996.0,1,0.0,1,39,8,6,1310849,0.0,0.0,185.0,185,0,709,1236178830,4,49.1845806,-123.106135
19,1313136000,6045,6,1.0,1308258347,1312704000,1311040658.0,1312686000,0,14424.18,0,0.0,1,25,181,1,1310985,0.0,0.0,19.0,51,1,125,1297470242,3,37.768121,-122.403359
20,1302328800,3530,6,1.0,1297681049,1301896800,1298390655.0,1301709600,1,3855.28,0,1.0,1,38,54,0,1311215,0.0,0.0,38.0,46,1,2,1297501981,3,48.8425799,2.3277822
21,1300298400,452,5,0.0,1297528534,1299870000,1297529030.0,1299866400,0,106.49,0,0.0,1,32,1,10,1311633,16.0,15.0,27.0,27,1,383,1264487280,3,29.7815499,-95.4496345
22,1300478400,742,5,0.0,1298322945,1300046400,1298323192.0,1299949200,0,268.7,0,0.20206093189964158,0,22,4,6,1343963,0.0,0.0,19.0,19,1,448,1259603019,3,44.4522063,-85.2160003
23,1302462000,810,8,1.0,1299005166,1302030000,1299005318.0,1302019200,0,132.0,0,0.0,1,60,12,55,1376573,29.0,11.0,35.0,35,0,454,1259786059,3,32.2960268,-110.9696206
24,1302060600,1483,6,0.0,1299005303,1301628600,1299264425.0,1301619600,0,1326.48,0,1.0,1,75,54,1,1376585,19.0,16.0,27.0,30,1,109,1289584604,3,33.6447519,-117.6845508
25,1303434000,3254,8,1.0,1299010553,1303002000,1299011690.0,1302991200,1,107.48,0,0.0,1,67,2,79,1377131,16.0,0.0,46.0,46,1,536,1252729123,3,45.217238,-93.278722
26,1299607200,870,11,0.0,1299171416,1299175200,1299171498.0,1299173400,0,634.98,0,0.0,0,48,1,0,1386643,0.0,0.0,0.0,0,0,42,1295576777,3,40.750228,-73.983714
